Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Accuracy,Precision,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,None,none,none,0.804347826,0.1875,0.38834935,0.214285714,0.64516129,0.25,0.495923913,"[[37  9]
 [13  3]]",None,None
0.2,SVM (lib),None,none,none,0.869565217,0.0625,0.233126202,0.086956522,0.661290323,0.142857143,0.466032609,"[[40  6]
 [15  1]]",None,None
0.2,ADA_DSTree,None,none,none,0.826086957,0.0625,0.227223315,0.08,0.629032258,0.111111111,0.444293478,"[[38  8]
 [15  1]]",None,None
0.2,ADA_SVM,None,none,none,0.956521739,0.0625,0.244504823,0.105263158,0.725806452,0.333333333,0.50951087,"[[44  2]
 [15  1]]",None,None
0.2,WSVM,10,10,0.1,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]",None,None
0.2,ADA_WSVM,10,10,0.1,0.869565217,0.0625,0.233126202,0.086956522,0.661290323,0.142857143,0.466032609,"[[40  6]
 [15  1]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA1_SVM,10,10,0.1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.032363803392216485, 0.3376880103137084, 0.5840182345112646, 0.44598423539165943, 0.5356435030465244, 0.4737551275501752, 0.5224248723168728, 0.48656907607335664, 0.5223655569089956, 0.4804854823900784]","[1.6989077838241846, 0.33680715281382223, -0.16964538973908835, 0.10845476878713496, -0.07140813195396073, 0.052538030861435846, -0.044879852727261416, 0.026868311453366926, -0.04476098343787216, 0.0390488705471409]"
0.2,ImADA2_SVM,10,10,0.1,0.782608696,0.125,0.312771621,0.142857143,0.612903226,0.166666667,0.453804348,"[[36 10]
 [14  2]]","[0.3495028218220909, 0.5569992507972151, 0.48951127410769824, 0.5017777818941336, 0.49969434399338397, 0.5000524235083131, 0.4999910049954871, 0.5000015432825237, 0.4999997352141012, 0.5000000454300639]","[0.3106126622455212, -0.11449621680608138, 0.020980529664213442, -0.0035555787715667135, 0.0006113120893816139, -0.0001048470170104505, 1.799000902771794e-05, -3.086565047312641e-06, 5.295717976320784e-07, -9.086012785036678e-08]"
0.2,ImADA_12_SVM,10,10,0.1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.032363803392216485, 0.526192191993653, 0.4964006221124607, 0.5004781574262197, 0.4999361901567456, 0.5000085102330216, 0.4999988649099739, 0.5000001513960289, 0.49999997980707267, 0.5000000026932954]","[1.6989077838241846, -0.052432379445027606, 0.0071988801304557395, -0.0009563151439683347, 0.00012761968720158309, -1.702046604488901e-05, 2.270180052207315e-06, -3.02792057849905e-07, 4.03858546948024e-08, -5.386590702521579e-09]"
0.2,ImADA1_WSVM,10,10,0.1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.032363803392216485, 0.32930812204555193, 0.592710434418362, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[1.6989077838241846, 0.35565798978607527, -0.1875907888554261, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA2_WSVM,10,10,0.1,0.782608696,0.1875,0.383065439,0.206896552,0.629032258,0.230769231,0.485054348,"[[36 10]
 [13  3]]","[0.3495028218220909, 0.5569992507972151, 0.4597518551168151, 0.5233634014010885, 0.4817722888487887, 0.5133942647901447, 0.48881593454347316, 0.5084289141759193, 0.49962487874516437, 0.49890708733377964]","[0.3106126622455212, -0.11449621680608138, 0.08067083151871085, -0.04676085509825552, 0.036471584917961083, -0.02679494038319325, 0.02237186254012523, -0.016859425545907598, 0.0007502426504327525, 0.0021858288136197375]"
0.2,ImADA_12_WSVM,10,10,0.1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.032363803392216485, 0.5201973488479719, 0.7403488381032687, 0.3115800853272776, 0.5685839154973253, 0.46721003481276946, 0.5174456411199281, 0.48768807899074, 0.5087650805204589, 0.49274321069925353]","[1.6989077838241846, -0.04041669033320497, -0.5238912164136561, 0.3963712959536429, -0.13803794661148067, 0.06567418751709367, -0.03490545149176526, 0.024628820584072557, -0.017531957083171512, 0.014514597796216997]"
0.2,WSVM,10,10,0.5,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]",None,None
0.2,ADA_WSVM,10,10,0.5,0.869565217,0.0625,0.233126202,0.086956522,0.661290323,0.142857143,0.466032609,"[[40  6]
 [15  1]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA1_SVM,10,10,0.5,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.14815749496754949, 0.33768801031370854, 0.5840182345112643, 0.44598423539165954, 0.5356435030465245, 0.4737551275501751, 0.5224248723168728, 0.48656907607335664, 0.5223655569089953, 0.4804854823900785]","[0.8745628966775242, 0.3368071528138218, -0.16964538973908788, 0.10845476878713478, -0.07140813195396092, 0.05253803086143594, -0.044879852727261416, 0.026868311453366926, -0.044760983437871736, 0.039048870547140596]"
0.2,ImADA2_SVM,10,10,0.5,0.782608696,0.125,0.312771621,0.142857143,0.612903226,0.166666667,0.453804348,"[[36 10]
 [14  2]]","[0.3495028218220909, 0.5569992507972151, 0.48951127410769824, 0.5017777818941336, 0.49969434399338397, 0.5000524235083131, 0.4999910049954871, 0.5000015432825237, 0.4999997352141012, 0.5000000454300639]","[0.3106126622455212, -0.11449621680608138, 0.020980529664213442, -0.0035555787715667135, 0.0006113120893816139, -0.0001048470170104505, 1.799000902771794e-05, -3.086565047312641e-06, 5.295717976320784e-07, -9.086012785036678e-08]"
0.2,ImADA_12_SVM,10,10,0.5,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.14815749496754949, 0.5261921919936529, 0.49640062211246117, 0.5004781574262195, 0.4999361901567456, 0.5000085102330216, 0.4999988649099738, 0.5000001513960292, 0.4999999798070722, 0.5000000026932957]","[0.8745628966775242, -0.05243237944502742, 0.007198880130454864, -0.0009563151439678897, 0.00012761968720158309, -1.702046604488901e-05, 2.270180052429359e-06, -3.0279205829399447e-07, 4.038585558298075e-08, -5.386591368655401e-09]"
0.2,ImADA1_WSVM,10,10,0.5,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.14815749496754949, 0.3348947142243231, 0.5868503161548394, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.8745628966775242, 0.34306457803459955, -0.17547991568059254, 0.0, -2.2204460492503136e-16, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA2_WSVM,10,10,0.5,0.782608696,0.1875,0.383065439,0.206896552,0.629032258,0.230769231,0.485054348,"[[36 10]
 [13  3]]","[0.3495028218220909, 0.5569992507972151, 0.4597518551168151, 0.5233634014010885, 0.4817722888487887, 0.5133942647901447, 0.48881593454347316, 0.5084289141759193, 0.49962487874516437, 0.49890708733377964]","[0.3106126622455212, -0.11449621680608138, 0.08067083151871085, -0.04676085509825552, 0.036471584917961083, -0.02679494038319325, 0.02237186254012523, -0.016859425545907598, 0.0007502426504327525, 0.0021858288136197375]"
0.2,ImADA_12_WSVM,10,10,0.5,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.14815749496754949, 0.5241939109450926, 0.7387147551505299, 0.31649214602989756, 0.5680659432677451, 0.46557666315189516, 0.5162577862623692, 0.48597574720946735, 0.5106346296739509, 0.49106940382087083]","[0.8745628966775242, -0.048425639812682435, -0.5196495780618584, 0.3849698603526071, -0.136982289572704, 0.06895575872801318, -0.03252703896413448, 0.028055864482633964, -0.02127246749112152, 0.017863092094155077]"
0.2,WSVM,10,10,0.8,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]",None,None
